city,competition,date,match-id,gender,match-number,match-referee,method,neutralvenue,outcome,player-of-match,reserve-umpire,season,series,team-0,team-1,toss-decision,toss-winner,tv-umpire,umpire-0,umpire-1,venue,winner,winner-runs,winner-wickets,year
Belfast,,2006/06/13,225171,male,,CH Lloyd,,,,ME Trescothick,,2006,,Ireland,England,bat,England,,R Dill,DB Hair,Civil Service Cricket Club,England,38.0,,2006
London,,2006/09/02,225246,male,2.0,MJ Procter,D/L,,,Shoaib Akhtar,IJ Gould,2006,NatWest Series,England,Pakistan,field,Pakistan,NJ Llong,MR Benson,BR Doctrove,Lord's,Pakistan,,7.0,2006
Southampton,,2006/09/05,225247,male,3.0,MJ Procter,,,,Younis Khan,IJ Gould,2006,NatWest Series,England,Pakistan,field,Pakistan,PJ Hartley,BR Doctrove,NJ Llong,The Rose Bowl,Pakistan,,2.0,2006
Nottingham,,2006/09/08,225248,male,4.0,MJ Procter,,,,IR Bell,NJ Llong,2006,NatWest Series,England,Pakistan,bat,Pakistan,IJ Gould,MR Benson,DJ Harper,Trent Bridge,England,,8.0,2006
Birmingham,,2006/09/10,225249,male,5.0,MJ Procter,,,,SI Mahmood,PJ Hartley,2006,NatWest Series,England,Pakistan,field,England,NJ Llong,IJ Gould,DJ Harper,Edgbaston,England,,3.0,2006
London,,2006/06/17,225250,male,1.0,CH Lloyd,,,,WU Tharanga,,2006,NatWest Series,England,Sri Lanka,field,England,IJ Gould,DB Hair,NJ Llong,Lord's,Sri Lanka,20.0,,2006
London,,2006/06/20,225251,male,2.0,CH Lloyd,,,,ST Jayasuriya,,2006,NatWest Series,England,Sri Lanka,bat,Sri Lanka,PJ Hartley,IJ Gould,DB Hair,Kennington Oval,Sri Lanka,46.0,,2006
Chester-le-Street,,2006/06/24,225252,male,3.0,CH Lloyd,,,,DPMD Jayawardene,,2006,NatWest Series,England,Sri Lanka,bat,England,NJ Llong,MR Benson,BR Doctrove,Riverside Ground,Sri Lanka,,8.0,2006
Manchester,,2006/06/28,225253,male,4.0,CH Lloyd,,,,DPMD Jayawardene,,2006,NatWest Series,England,Sri Lanka,bat,Sri Lanka,MR Benson,BR Doctrove,NJ Llong,Old Trafford,Sri Lanka,33.0,,2006
Leeds,,2006/07/01,225254,male,5.0,CH Lloyd,,,,ST Jayasuriya,,2006,NatWest Series,England,Sri Lanka,bat,England,IJ Gould,MR Benson,BR Doctrove,Headingley,Sri Lanka,,8.0,2006
Brisbane,,2006/01/15,226375,male,2.0,JJ Crowe,,,,SM Pollock,,2005/06,VB Series,Australia,South Africa,bat,Australia,DJ Harper,Aleem Dar,SJA Taufel,Brisbane Cricket Ground,South Africa,,5.0,2006
Melbourne,,2006/01/20,226376,male,4.0,JJ Crowe,,,,B Lee,,2005/06,VB Series,Australia,South Africa,bat,Australia,PD Parker,MR Benson,DJ Harper,Docklands Stadium,Australia,59.0,,2006
Melbourne,,2006/02/03,226377,male,10.0,JJ Crowe,,,,MEK Hussey,,2005/06,VB Series,Australia,South Africa,bat,Australia,RL Parry,Aleem Dar,PD Parker,Docklands Stadium,Australia,80.0,,2006
,,2006/02/05,226378,male,11.0,JJ Crowe,,,,AC Gilchrist,,2005/06,VB Series,Australia,South Africa,bat,Australia,RL Parry,Aleem Dar,PD Parker,Sydney Cricket Ground,Australia,57.0,,2006
,,2006/01/22,226380,male,5.0,JJ Crowe,,,,ST Jayasuriya,,2005/06,VB Series,Australia,Sri Lanka,bat,Sri Lanka,RL Parry,MR Benson,SJ Davis,Sydney Cricket Ground,Sri Lanka,51.0,,2006
,,2006/01/26,226381,male,7.0,JJ Crowe,,,,A Symonds,,2005/06,VB Series,Australia,Sri Lanka,bat,Sri Lanka,RL Parry,Aleem Dar,SJ Davis,Adelaide Oval,Australia,,5.0,2006
Perth,,2006/01/29,226382,male,8.0,JJ Crowe,,,,AC Gilchrist,,2005/06,VB Series,Australia,Sri Lanka,bat,Sri Lanka,RL Parry,MR Benson,PD Parker,Western Australia Cricket Association Ground,Australia,,6.0,2006
Brisbane,,2006/01/17,226383,male,3.0,JJ Crowe,,True,,KC Sangakkara,,2005/06,VB Series,South Africa,Sri Lanka,field,South Africa,PD Parker,Aleem Dar,DJ Harper,Brisbane Cricket Ground,Sri Lanka,94.0,,2006
,,2006/01/24,226384,male,6.0,JJ Crowe,,True,,HH Dippenaar,,2005/06,VB Series,South Africa,Sri Lanka,bat,South Africa,SJ Davis,Aleem Dar,DJ Harper,Adelaide Oval,South Africa,9.0,,2006
Perth,,2006/01/31,226385,male,9.0,JJ Crowe,,True,,GC Smith,,2005/06,VB Series,South Africa,Sri Lanka,bat,Sri Lanka,RL Parry,MR Benson,PD Parker,Western Australia Cricket Association Ground,South Africa,,5.0,2006
Hobart,,2006/02/07,226386,male,12.0,JJ Crowe,,True,,HMCM Bandara,,2005/06,VB Series,South Africa,Sri Lanka,bat,Sri Lanka,RL Parry,MR Benson,DJ Harper,Bellerive Oval,Sri Lanka,76.0,,2006
